[Mon Dec  8 13:25:18 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Mon Dec  8 13:25:42 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Mon Dec  8 13:25:45 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Tue Dec  9 12:38:27 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Tue Dec  9 12:38:28 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Tue Dec  9 12:38:29 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Tue Dec  9 12:38:31 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Tue Dec  9 12:38:32 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "favicon.ico(DayDayUp::Favicon.ico)"
[Tue Dec  9 12:38:32 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "favicon.ico(DayDayUp::Favicon.ico)"
[Tue Dec  9 12:38:44 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Tue Dec  9 12:38:47 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Tue Dec  9 13:06:15 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "edit" in "notes(DayDayUp::Notes)"
[Tue Dec  9 13:06:19 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "edit" in "notes(DayDayUp::Notes)"
[Tue Dec  9 13:06:22 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Tue Dec  9 14:09:49 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Tue Dec  9 15:17:45 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "backup(DayDayUp::Backup)"
[Tue Dec  9 15:17:52 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "ftp" in "backup(DayDayUp::Backup)"
[Tue Dec  9 15:18:00 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Wed Dec 10 09:02:42 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Wed Dec 10 09:52:05 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Wed Dec 10 09:52:07 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:00:21 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:01:11 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:01:31 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:01:33 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:01:41 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:01:43 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:01:48 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:01:50 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:01:53 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:01:56 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:36:19 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:36:28 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Wed Dec 10 10:36:31 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Wed Dec 10 12:48:51 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Thu Dec 11 09:20:37 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Thu Dec 11 09:35:59 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Thu Dec 11 09:36:04 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Thu Dec 11 09:36:06 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Thu Dec 11 09:39:25 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Thu Dec 11 09:39:49 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Thu Dec 11 09:39:51 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Thu Dec 11 09:44:10 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Thu Dec 11 09:44:20 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Thu Dec 11 09:44:22 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Thu Dec 11 12:14:37 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Thu Dec 11 12:28:04 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Thu Dec 11 12:28:05 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "favicon.ico(DayDayUp::Favicon.ico)"
[Thu Dec 11 12:28:09 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "favicon.ico(DayDayUp::Favicon.ico)"
[Thu Dec 11 16:44:10 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Thu Dec 11 16:44:10 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Thu Dec 11 16:44:11 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Thu Dec 11 16:44:13 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Thu Dec 11 16:44:23 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Thu Dec 11 16:44:26 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Fri Dec 12 12:28:50 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Fri Dec 12 12:28:54 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Fri Dec 12 12:28:57 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Fri Dec 12 12:28:58 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "favicon.ico(DayDayUp::Favicon.ico)"
[Fri Dec 12 12:40:09 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Fri Dec 12 12:40:12 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:50:36 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:50:39 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:50:43 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "edit" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:50:51 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "edit" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:50:53 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:51:07 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
